Gender,Team tier,Team,Rider,Nationality,Age,Date of birth,Place of birth,Height (m),Weight (kg),Wins,UCI rank,Top result 1,Top result 2,Top result 3,Previous team 1,Previous team 2,Previous team 3,Previous team 4,Previous team 5,Previous team 6,Previous team 7,Previous team 8,Previous team 9,Previous team 10,Previous team 11,Previous team 12,Previous team 13,Previous team 14,Specialty 1,Specialty 2
M,PT,Pinarello Q36.5 Pro Cycling Team,VAN MOER Brent,Belgium,28,12 January 1998,Beveren,1.91,79,1,,stage Critérium du Dauphiné ('21),2nd stage Tirreno-Adriatico ('21),3rd GC Tour de Wallonie ('23),Lotto,Lotto Dstny,Lotto Soudal,Lotto - Soudal U23,Van Moer Group Cyclingteam,,,,,,,,,,Oneday,
M,PT,Pinarello Q36.5 Pro Cycling Team,VANHOUCKE Harm,Belgium,28,17 June 1997,Kortrijk,1.81,65,0,,2nd GC Tour de l'Ain ('21),2nd GC Sibiu Cycling Tour ('22),Il Piccolo Lombardia ('16),Q36.5 Pro Cycling Team,Lotto Dstny,Team dsm - firmenich,Lotto Soudal,Lotto - Soudal U23,Forte U19 Cycling Team,,,,,,,,,GC,
M,PT,Pinarello Q36.5 Pro Cycling Team,WRIGHT Fred,Great Britain,26,13 June 1999,London,1.84,75,1,95,2nd stage Tour de France ('22),2nd stage Vuelta a España ('22),National Championships Great Britain ME - Road Race ('23),Bahrain - Victorious,Bahrain - McLaren,CCC Team,Team Inspired,VC Londres,,,,,,,,,,Hills,
M,PT,Pinarello Q36.5 Pro Cycling Team,ZUKOWSKY Nickolas,Canada,27,3 June 1998,Sainte-Lucie-des-Laurentides,,,1,,GC Grand Prix Cycliste de Saguenay ('19),"2nd Maryland Cycling Classic, presented by UnitedHealthcare ('22)",National Championships Canada ME - Road Race ('23),Q36.5 Pro Cycling Team,Human Powered Health,Rally Cycling,Floyd's Pro Cycling,Silber Pro Cycling,,,,,,,,,,Oneday,
M,PT,Solution Tech NIPPO Rali,ARASHIRO Yukiya,Japan,41,22 September 1984,Ishigaki,1.70,64,8,,GC Tour du Limousin-Périgord - Nouvelle Aquitaine ('12),Asian Continental Championships ME - Road Race ('11),GC Tour de Taiwan ('18),Team Solution Tech - Vini Fantini,Bahrain - Victorious,Bahrain - McLaren,Bahrain Merida,Bahrain Merida Pro Cycling Team,Lampre - Merida,Team Europcar,Bbox Bouygues Telecom,Meitan Hompo GDR,Nippo Corporation,Cycle Racing Team Vang,,,,Oneday,
M,PT,Solution Tech NIPPO Rali,ARCHIBOLD Franklin,pa,28,24 August 1997,David,,,6,,"4x Elite Road Central American Championships ME - ITT ('26, '24, '22, '21)","4x National Championships Panama ME - ITT ('24, '22, '18, '17)","2x Central American Championships ME - IRR ('25, '24)",Natural Greatness - Rali - Alé,Panamá es Cultura y Valores,UCI WCC Men's Team,,,,,,,,,,,,TT,
M,PT,Solution Tech NIPPO Rali,BALMER Alexandre,Switzerland,26,4 May 2000,La Chaux-de-Fonds,1.92,72,0,,3rd GC Baku-Khankendi Azerbaijan Cycling race ('26),2nd stage Baku-Khankendi Azerbaijan Cycling race ('26),2nd Trofeo Città di Brescia ('25),Team Solution Tech - Vini Fantini,Team Corratec - Vini Fantini,Team Jayco AlUla,Team BikeExchange - Jayco,Equipe continentale Groupama-FDJ,,,,,,,,,,Oneday,
M,PT,Solution Tech NIPPO Rali,BONNEU Kamiel,Belgium,26,1 August 1999,Hamont-Achel,1.78,64,3,,stage Arctic Race of Norway ('24),stage Tour of Britain ('22),stage Sazka Tour ('22),Intermarché - Wanty,Team Flanders - Baloise,Sport Vlaanderen - Baloise,Basso Team Flanders,GM Recycling Team,Davo CT - Tongeren Junior,,,,,,,,,GC,
M,PT,Solution Tech NIPPO Rali,CONTI Valerio,Italy,33,30 March 1993,Rome,1.72,61,4,,Gran Premio Bruno Beghelli ('14),stage Vuelta a España ('16),Trofeo Matteotti ('20),Team Solution Tech - Vini Fantini,Team Corratec - Vini Fantini,Team Corratec - Selle Italia,Astana Qazaqstan Team,UAE Team Emirates,Lampre - Merida,Mastromarco- Sensi - Benedetti - Dover,,,,,,,,GC,
M,PT,Solution Tech NIPPO Rali,FABBRO Matteo,Italy,31,10 April 1995,Udine,1.67,52,0,,GC Tour of Japan ('26),5th GC Tirreno-Adriatico ('21),stage Tour of Japan ('26),Team Solution Tech - Vini Fantini,Team Polti Kometa,BORA - hansgrohe,Team Katusha Alpecin,,,,,,,,,,,GC,
M,PT,Solution Tech NIPPO Rali,FINKŠT Tilen,Slovenia,28,6 July 1997,Ljubljana,1.76,70,0,,Velika Nagrada Novega Mesta ('23),Visegrad 4 Kerekparverseny ('24),stage Istarsko Proljeće - Istrian Spring Trophy ('23),Adria Mobil,Ljubljana Gusto Santic,Ljubljana Gusto Xaurum,ROG - Ljubljana,Radenska Ljubljana,,,,,,,,,,Sprint,
M,PT,Solution Tech NIPPO Rali,GAZZOLI Michele,Italy,27,4 March 1999,Ospitaletto,1.80,76,1,,stage Arctic Race of Norway ('23),Gran Premio della Liberazione ('21),2x stage Tour of Bulgaria ('23),XDS Astana Team,Astana Qazaqstan Team,Astana Qazaqstan Development Team,Team Colpack Ballan,Kometa Cycling Team,Polartec-Kometa,GS Aspiratori Otelli,,,,,,,,Hills,
M,PT,Solution Tech NIPPO Rali,GONZÁLEZ Roberto Carlos,pa,32,21 May 1994,Las Tablas,,,1,,National Championships Panama ME - Road Race ('25),2x stage Vuelta a Guatemala ('20),"2x 2nd National Championships Panama ME - Road Race ('26, '18)",Team Solution Tech - Vini Fantini,Team Corratec - Vini Fantini,Rali - Giant,Mg.K Vis - Colors for Peace,Java Kiwi Atlántico,Vini Zabù,Vini Zabù - KTM,Neri Sottoli - Selle Italia - KTM,Bicicletas Strongman,,,,,,TT,
M,PT,Solution Tech NIPPO Rali,GRANGER Ben,Great Britain,25,8 August 2000,Oxford,1.83,71,0,,Rutland - Melton CICLE Classic ('25),3rd Coppa Sabatini ('25),6th Giro della Città Metropolitana di Reggio Calabria ('25),Mg.K Vis Costruzioni e Ambiente,Mg.K Vis - Colors for Peace,Mg.K Vis-Color for Peace-VPM,Holdsworth Zappi Team,,,,,,,,,,,Oneday,
M,PT,Solution Tech NIPPO Rali,IACCHI Alessandro,Italy,27,26 May 1999,Borgo San Lorenzo,1.70,59,0,,9th GC Tour of Britain ('22),10th stage Tour d'Eure-et-Loir ('21),10th Trofej Poreč - Poreč Trophy ('24),Team Solution Tech - Vini Fantini,Team Corratec - Vini Fantini,Team Corratec - Selle Italia,Team Qhubeka,Vini Zabù,Vini Zabù - KTM,Neri Sottoli - Selle Italia - KTM,Team Franco Ballerini,,,,,,,GC,
M,PT,Solution Tech NIPPO Rali,MEO Felix James,New Zealand,29,3 April 1997,Wellington,,,0,,8th stage Trans-Himalaya Cycling Race ('25),10th stage Tour de Langkawi ('25),15th stage Tour of Bulgaria ('23),Team Solution Tech - Vini Fantini,Maloja Pushbikers,Team Vorarlberg,Team Vorarlberg Santic,Team Colpack,,,,,,,,,,Hills,
M,PT,Solution Tech NIPPO Rali,NENCINI Tommaso,Italy,25,10 September 2000,Florence,,,0,,Velika Nagrada Novega Mesta ('26),8th Per Sempre Alfredo ('21),5th stage Trans-Himalaya Cycling Race ('25),Team Solution Tech - Vini Fantini,Zalf Euromobil Fior,Hopplà - Petroli Firenze - Don Camillo,Casillo - Petroli Firenze - Hopplà,Petroli Firenze - Hopplà - Don Camillo,AC Fosco Bessi Calenzano,,,,,,,,,Sprint,
M,PT,Solution Tech NIPPO Rali,PIRAS Andrea,Italy,24,5 February 2002,Desio,,,0,,Giro della Provincia di Biella - Torino-Biella ('26),4th GP Vorarlberg ('26),8th stage Etoile de Bessèges ('26),Team Solution Tech - Vini Fantini,Namedsport - MI Impianti,Beltrami TSA - Tre Colli,GS Aspiratori Otelli,,,,,,,,,,,Oneday,
M,PT,Solution Tech NIPPO Rali,POZZOVIVO Domenico,Italy,43,30 November 1982,Policoro,1.65,63,13,,GC Giro del Trentino ('12),stage Giro d'Italia ('12),stage Tour de Suisse ('17),VF Group - Bardiani CSF - Faizanè,Israel - Premier Tech,Intermarché - Wanty - Gobert Matériaux,Team Qhubeka NextHash,NTT Pro Cycling,Bahrain Merida,Bahrain Merida Pro Cycling Team,AG2R La Mondiale,Colnago - CSF Inox,CSF Group - Navigare,Ceramica Panaria - Navigare,,,,GC,
M,PT,Solution Tech NIPPO Rali,RAJOVIĆ Dušan,Serbia,28,19 November 1997,Kraljevo,1.83,74,23,147,"2x stage Tour of Hainan ('26, '25)","2x stage Tour of Qinghai Lake ('18, '17)","5x National Championships Serbia ME - Road Race ('23, '22, '21, '19, '18)",Team Solution Tech - Vini Fantini,Bahrain - Victorious,Team Corratec,DELKO,NIPPO DELKO One Provence,Adria Mobil,,,,,,,,,Sprint,
M,PT,Solution Tech NIPPO Rali,REGNANTI Matteo,Italy,24,27 July 2001,Figline Valdarno,,,0,,6th Coppa della Pace - Trofeo F.lli Anelli ('23),7th Trofeo Città di Castelfidardo ('25),9th Gran Premio della Liberazione ('23),Team Hopplà,Hopplà - Petroli Firenze - Don Camillo,GS Maltinti Lampadari,GS Maltinti Lamp. Banca Cambiano,,,,,,,,,,,Sprint,
M,PT,Solution Tech NIPPO Rali,SAMUDIO Carlos,pa,28,5 October 1997,David,,,3,,"2x National Championships Panama ME - ITT ('26, '25)",Central American Championships ME - IRR ('26),National Championships Panama ME - Road Race ('26),Team Solution Tech - Vini Fantini,Team Corratec - Vini Fantini,Mg.K Vis - Colors for Peace,Rali - Giant,,,,,,,,,,,TT,
M,PT,Solution Tech NIPPO Rali,UMBA Santiago,Colombia,23,20 November 2002,Arcabuco,1.70,58,0,,GP Vorarlberg ('26),stage Tour Alsace ('21),stage Le Tour de Savoie Mont Blanc ('21),XDS Astana Development Team,Astana Qazaqstan Team,GW Shimano-Sidermec,Drone Hopper - Androni Giocattoli,Androni Giocattoli - Sidermec,,,,,,,,,,GC,
M,PT,Solution Tech NIPPO Rali,VERRANDO Luca,Italy,21,12 July 2004,Sanremo,,,0,,19th stage CRO Race ('25),21st stage Istrian Spring Tour ('26),30th Giro della Provincia di Biella - Torino-Biella ('26),Team Solution Tech - Vini Fantini,Team Bike Sicilia - Multicar Amarù,Team Franco Ballerini,,,,,,,,,,,,Oneday,
M,PT,Solution Tech NIPPO Rali,VIVIANI Attilio,Italy,29,18 October 1996,Vallese,1.74,69,3,,Schaal Sels ('19),stage Tour of Qinghai Lake ('23),stage La Tropicale Amissa Bongo ('20),Team Solution Tech - Vini Fantini,Team Corratec - Vini Fantini,Team Corratec - Selle Italia,Bingoal Pauwels Sauces WB,Cofidis,"Cofidis, Solutions Crédits",Sangemini - MG.Kvis,Team Colpack,,,,,,,Sprint,
M,PT,Solution Tech NIPPO Rali,ĐURIĆ Đorđe,Serbia,25,21 June 2000,Aranđelovac,1.93,79,1,,National Championships Serbia ME - Road Race ('20),stage Tour of Albania ('24),2nd National Championships Serbia ME - Road Race ('23),Team Solution Tech - Vini Fantini,Adria Mobil,Philippe Wagner Cycling,UCI WCC Men's Team,,,,,,,,,,,Sprint,
M,PT,Team Flanders - Baloise,CRABBE Tom,Belgium,21,2 June 2005,Jette,1.79,70,5,230,3x stage Presidential Cycling Tour of Türkiye ('26),stage Vuelta a Andalucia Ruta Ciclista Del Sol ('26),stage Etoile de Bessèges ('26),Bingoal WB Devo Team,AVIA - Rudyco Cycling Team,,,,,,,,,,,,,Sprint,
M,PT,Team Flanders - Baloise,DEMAN Brem,Belgium,24,16 May 2002,Asse,1.87,76,0,,10th GC Flanders Tomorrow Tour ('23),6th National Championships Belgium MU - Road Race ('22),7th National Championships Belgium MU - ITT ('24),EFC-L&R - Van Mossel,VDM-Trawobo Cycling Team,Van Moer Logistics Cycling Team,,,,,,,,,,,,Oneday,
M,PT,Team Flanders - Baloise,DENS Tuur,Belgium,25,26 June 2000,Rotselaar,1.84,81,0,,3rd KOM Quatre Jours de Dunkerque ('23),11th stage Tour of Denmark ('23),11th Dorpenomloop Rucphen ('22),Sport Vlaanderen - Baloise,VL Technics - Experza - Abutriek,Davo CT - Tongeren Junior,,,,,,,,,,,,Oneday,
M,PT,Team Flanders - Baloise,DEWEIRDT Siebe,Belgium,24,8 May 2002,Wetteren,1.85,69,0,,3rd SD WORX BW Classic ('23),17th GC Région Pays de la Loire Tour ('26),15th NXT Classic ME ('26),Soudal Quick-Step Devo Team,Team Elevate p/b Home Solution Soenens,Home Solution-Soenens,Maes CT Glabbeek,,,,,,,,,,,Oneday,
M,PT,Team Flanders - Baloise,GEERAERTS Ferre,Belgium,23,11 January 2003,Baal,,,0,,2nd Chrono des Nations ('25),"2x 5th Chrono des Nations ('24, '23)",2nd National Championships Belgium MU - ITT ('24),DL Chemicals - Experza,Basso Team Flanders,Young Cycling Talent D&D,,,,,,,,,,,,TT,
M,PT,Team Flanders - Baloise,HESTERS Jules,Belgium,27,11 November 1998,Ghent,1.80,72,0,,Grand Prix de la Ville de Lillers Souvenir Bruno C ('26),3rd stage Presidential Cycling Tour of Türkiye ('25),8th Clasica de Almeria ('22),Sport Vlaanderen - Baloise,BEAT Cycling,EFC-L&R Vulsteke,Isorex Cycling Team,,,,,,,,,,,Sprint,
M,PT,Team Flanders - Baloise,HUYSMANS Nolan,Belgium,20,7 January 2006,Jette,,,0,,4th National Championships Belgium MU - Road Race ('25),9th stage Région Pays de la Loire Tour ('26),13th stage West Bohemia Tour ('25),Bahrain Victorious Development Team,Cannibal - Victorious U19 Development Team,AVIA - Rudyco Cycling Team,,,,,,,,,,,,Sprint,
M,PT,Team Flanders - Baloise,LAMBRECHT Michiel,Belgium,23,10 February 2003,Tielt,1.91,75,0,,2nd GC West Bohemia Tour ('24),2nd Grand Prix de la Somme Conseil Départemental 80 ('23),2nd stage West Bohemia Tour ('24),Wagner Bazin WB,Bingoal WB Devo Team,Bingoal WB Development Team,Bingoal Pauwels Sauces WB Development Team,Acrog - Balen BC Junior,,,,,,,,,,Oneday,
M,PT,Team Flanders - Baloise,LANHOVE Milan,Belgium,22,1 November 2003,Halle,1.81,69,0,,4th Volta NXT Classic ME ('25),10th GC Tour of Holland ('25),3rd stage West Bohemia Tour ('24),Bingoal WB Devo Team,Van Eyck Sport - Josan - TLD Express,,,,,,,,,,,,,Oneday,
M,PT,Team Flanders - Baloise,MARIS Elias,Belgium,26,5 October 1999,Oelegem,1.77,64,0,,4th stage Tour de Hongrie ('26),5th stage Tour of Britain ('25),6th stage Czech Tour ('23),Leopard Pro Cycling,Basso Team Flanders,GM Recycling Team,WAC Team Hoboken,,,,,,,,,,,Hills,
M,PT,Team Flanders - Baloise,THONNON Senne,Belgium,23,19 March 2003,Tongeren,,,0,,16th GC Région Pays de la Loire Tour ('26),16th GC Presidential Cycling Tour of Türkiye ('26),8th National Championships Belgium MU - ITT ('24),Urbano-Vulsteke-Bumaco Cycling Team,Urbano - Vulsteke Cycling Team,EFC-L&R - Van Mossel,EFC-L&R-AGS Juniors,EFC-L&R-AGS,Maes CT Glabbeek,,,,,,,,,GC,
M,PT,Team Flanders - Baloise,TORNEY Artuur,Belgium,22,1 September 2003,Gentbrugge,,,0,,3rd Grand Prix Cerami ('25),9th Grote Prijs Stad Halle ('25),10th National Championships Belgium MU - Road Race ('25),Mini Discar Cycling Team,Isorex Cycling Team,,,,,,,,,,,,,Hills,Sprint
M,PT,Team Flanders - Baloise,VAN DEN HAUTE Milan,Belgium,20,14 October 2005,Oudenaarde,,,0,,15th National Championships Belgium MU - ITT ('24),19th National Championships Belgium MU - ITT ('25),35th VDL Groep Omloop der Kempen ('25),Atom 6 Bikes - Decca Continental Team,Hubo - Remotive,AVIA - Rudyco Cycling Team,,,,,,,,,,,,Oneday,
M,PT,Team Flanders - Baloise,VAN HAUTEGEM Leander,Belgium,23,9 March 2003,Oudenaarde,1.86,64,0,,4th GC Tour Alsace ('24),12th Elfstedenronde ('25),9th GC Ronde de l'Oise ('24),Wagner Bazin WB,Soudal Quick-Step Devo Team,Bingoal Pauwels Sauces WB Development Team,Onder Ons Parike,,,,,,,,,,,Oneday,
M,PT,Team Flanders - Baloise,VAN HEMELEN Vincent,Belgium,25,2 November 2000,Herentals,1.91,73,0,,Coppa Zappi - Trofeo Hotel Antico Borgo ('22),2nd Grand Prix Cycliste la Marseillaise ('25),3rd GC Flanders Tomorrow Tour ('21),Lotto - Soudal U23,GM Recycling Team,,,,,,,,,,,,,Oneday,
M,PT,Team Flanders - Baloise,VANDENABEELE Henri,Belgium,26,15 April 2000,Deinze,,,0,,stage Ronde de l'Isard ('20),2nd GC Giro Ciclistico d'Italia ('20),2nd GC Ronde de l'Isard ('20),Lotto,Lotto Dstny,Team dsm - firmenich,Team DSM,Development Team DSM,Lotto - Soudal U23,Crabbé Toitures - CC Chevigny Junior,,,,,,,,GC,
M,PT,Team Flanders - Baloise,VANDENBRANDEN Noah,Belgium,23,29 July 2002,Meise,1.81,74,0,,10th Grote prijs Jean-Pierre Monseré ('25),3rd National Championships Belgium MU - ITT ('21),4th National Championships Belgium ME - ITT ('24),Lotto - Soudal U23,ACROG-Tormans,,,,,,,,,,,,,TT,
M,PT,Team Flanders - Baloise,VANDENSTORME Dylan,Belgium,24,19 April 2002,Aalst,1.72,64,0,,stage Giro Ciclistico della Valle d'Aosta - Mont Blanc ('23),3rd Grand Prix de la ville de Pérenchies ('23),10th SUPER 8 Classic ('24),Circus - ReUz - Technord,EFC-L&R-AGS,Home Solution-Soenens,Canguru - QTS - Air College Cycling Team,Zannata - Galloo Cyclingteam Menen,,,,,,,,,,Oneday,
M,PT,Team Flanders - Baloise,VANHOOF Ward,Belgium,27,18 April 1999,Mol,1.86,75,0,,8th Antwerp Port Epic / Sels Trophy ('26),4th Paris-Roubaix Espoirs ('19),11th GC Tour of Holland ('25),Sport Vlaanderen - Baloise,Lotto - Soudal U23,Acrog - Balen BC Junior,,,,,,,,,,,,Oneday,
M,PT,Team Flanders - Baloise,VERCOUILLIE Victor,Belgium,23,3 November 2002,Kortrijk,1.81,66,0,,6th Grote prijs Jean-Pierre Monseré ('25),4th GC Flanders Tomorrow Tour ('23),2nd stage Flanders Tomorrow Tour ('23),Bolton Equities Black Spoke,EFC-L&R - Van Mossel,Dovy Keukens - FCC Cycling Team,Onder Ons Parike,,,,,,,,,,,Oneday,
M,PT,Team Novo Nordisk,ARMITT Hamish,Great Britain,23,24 June 2002,Glasgow,,,0,,6th stage Tour of Bulgaria ('24),11th GC Tour of Bulgaria ('24),15th stage Tour of Bulgaria ('24),Team Novo Nordisk Development,Project 1,,,,,,,,,,,,,Hills,
M,PT,Team Novo Nordisk,BEADLE Hamish,New Zealand,28,2 April 1998,Te Anau,1.67,64,0,,3rd stage Tour de Slovaquie ('24),7th stage Tour of Istanbul ('24),8th stage Tour of Hainan ('23),Team Novo Nordisk Development,,,,,,,,,,,,,,Sprint,
M,PT,Team Novo Nordisk,BRAND Sam,Great Britain,35,27 February 1991,Peel,1.86,76,0,,16th GC Tour of Taihu Lake ('19),2nd KOM Tour of Estonia ('19),15th stage Tour of Hellas ('22),,,,,,,,,,,,,,,GC,
M,PT,Team Novo Nordisk,COLLADON Jacopo,Italy,23,31 March 2003,Marino,,,0,,22nd Gran Premio New York City ('24),23rd GC Tour of the Gila ('24),26th stage Tour of the Gila ('24),Team Novo Nordisk Development,Team Linea Oro Bike,AS Roma Coratti,,,,,,,,,,,,,
M,PT,Team Novo Nordisk,DAUGE Lucas,France,29,28 December 1996,Châteauroux-les-Alpes,,,0,,9th Grand Prix Develi ME ('20),15th stage Tour of Hellas ('22),16th Grand Prix Central Anatolia ('20),Team Novo Nordisk Development,,,,,,,,,,,,,,Climber,
M,PT,Team Novo Nordisk,DE GRAEVE Quinten,Belgium,25,24 October 2000,Knesselare,1.81,75,0,,15th stage Tour of the Gila ('23),"2x 16th stage Tour of Hainan ('24, '23)",19th stage Tour of the Gila ('23),Team Novo Nordisk Development,,,,,,,,,,,,,,Hills,
M,PT,Team Novo Nordisk,IRVINE Declan,Australia,27,11 March 1999,Newcastle,1.78,75,0,,8th stage Tour of Hainan ('24),12th stage Sibiu Cycling Tour ('21),13th stage Cycling Tour of Bihor - Bellotto ('18),Kooragang Open CC,,,,,,,,,,,,,,TT,
M,PT,Team Novo Nordisk,LOZANO David,Spain,37,21 December 1988,Terrassa,1.78,63,0,,stage Tour du Rwanda ('18),5th GC Tour of Estonia ('18),3x 2nd stage Tour du Rwanda ('18),Team Type 1 - SANOFI,,,,,,,,,,,,,,GC,
M,PT,Team Novo Nordisk,LÓPEZ Juan José,Spain,19,13 September 2006,Vélez-Rubio,,,0,,41st stage West Bohemia Tour ('25),47th stage West Bohemia Tour ('25),48th stage Tour of the Gila ('25),Team Novo Nordisk Development,Valverde Team - Ricardo Fuentes,,,,,,,,,,,,,,
M,PT,Team Novo Nordisk,MACKIE Donovan,Australia,18,26 September 2007,Perth,1.88,75,0,,6th stage Tour of Bosnia and Herzegovina ('26),7th stage Belgrade Banjaluka ('26),16th stage Tour de Taiwan ('26),Team Novo Nordisk Development,Cycling Development Foundation,,,,,,,,,,,,,Sprint,
M,PT,Team Novo Nordisk,MCDONALD Bailey,Australia,23,2 May 2003,Camperdown,,,0,,17th Oceania Continental Championships ME - Road Race ('24),9th Oceania Continental Championships MU - ITT ('23),5th KOM Tour of Rhodes ('26),Team BridgeLane,NCMG Criterion Racing,,,,,,,,,,,,,Hills,
M,PT,Team Novo Nordisk,MULLER Anton,France,27,3 June 1998,Montpellier,,,0,,15th stage Tour of the Gila ('24),29th Gran Premio New York City ('24),34th stage Tour de Taiwan ('26),Team Novo Nordisk Development,UC Pélussin,,,,,,,,,,,,,Hills,
M,PT,Team Novo Nordisk,PERON Andrea,Italy,37,28 October 1988,Borgoricco,1.78,70,0,,GP Kranj ('22),2nd stage Tour of Hellas ('22),2x 3rd stage Tour of China I ('13),,,,,,,,,,,,,,,Sprint,
M,PT,Team Novo Nordisk,PERRACCHIONE Alessandro,Italy,21,9 February 2005,Rocca Canavese,,,0,,6th stage Tour of Hellas ('25),9th stage Tour de Taiwan ('25),9th KOM Arctic Race of Norway ('24),Ciclistica Rostese,Energy Team ASD,,,,,,,,,,,,,Sprint,
M,PT,Team Novo Nordisk,POLGA Antonio,Italy,27,26 March 1999,Fara Vicentino,,,0,,15th stage Tour of Bulgaria ('23),18th KOM Région Pays de la Loire Tour ('25),19th stage In the footsteps of the Romans ('23),Team Novo Nordisk Development,,,,,,,,,,,,,,Oneday,
M,PT,Team Novo Nordisk,POLI Umberto,Italy,29,27 August 1996,Verona,,,0,,14th GC Tour of Estonia ('17),8th stage Tour de Tochigi ('18),9th KOM Tour of Denmark ('19),Team Novo Nordisk Development,,,,,,,,,,,,,,Sprint,
M,PT,Team Novo Nordisk,POSNIC Louis-Marie,France,22,30 December 2003,Cholet,,,0,,28th stage Visit South Aegean Islands ('24),31st GC Visit South Aegean Islands ('24),41st stage Visit South Aegean Islands ('24),Team Novo Nordisk Development,,,,,,,,,,,,,,,
M,PT,Team Novo Nordisk,RIDOLFO Filippo,Italy,24,8 November 2001,Buja,,,0,,2nd GP Kranj ('23),7th stage Tour of Estonia ('25),16th Grand Prix Criquielion ('26),Team Novo Nordisk Development,Danieli 1914 Cycling Team,,,,,,,,,,,,,Sprint,
M,PT,Team Novo Nordisk,SMITH Nathan,Great Britain,25,27 August 2000,Edinburgh,,,0,,12th stage In the footsteps of the Romans ('23),20th stage Volta a la Comunitat Valenciana ('24),21st stage Tour of Sakarya ('22),Team Novo Nordisk Development,,,,,,,,,,,,,,Sprint,
M,PT,Team Novo Nordisk,TERRIER Lucas,France,20,4 April 2006,Gleizé,,,0,,21st stage Tour of the Gila ('25),24th stage West Bohemia Tour ('25),25th stage Tour of Hellas ('26),Team Novo Nordisk Development,Bourg-en-Bresse Ain Cyclisme,,,,,,,,,,,,,,
M,PT,Team Novo Nordisk,WATTELLE Célestin,France,23,15 May 2003,Frouzins,,,0,,4th GC In the footsteps of the Romans ('24),3rd stage In the footsteps of the Romans ('24),8th stage Tour de Taiwan ('26),Team Novo Nordisk Development,Villeneuve Cycliste,,,,,,,,,,,,,Sprint,
M,PT,Team Polti VisitMalta,BAIS Davide,Italy,28,2 April 1998,Rovereto,1.84,69,1,,stage Giro d'Italia ('23),2nd Giro della Città Metropolitana di Reggio Calabria ('25),9th GC Tour de Langkawi ('25),Team Polti Kometa,EOLO-Kometa,Cycling Team Friuli ASD,Cycling Team Friuli,U.S. Montecorona,,,,,,,,,,GC,
M,PT,Team Polti VisitMalta,BAIS Mattia,Italy,29,19 October 1996,Rovereto,1.75,66,0,,stage Carpathian Couriers Race in memory of Wacław Felcz ('18),3rd Giro della Romagna ('24),2nd GC Giro della Regione Friuli Venezia Giulia ('19),Team Polti Kometa,EOLO-Kometa,Drone Hopper - Androni Giocattoli,Androni Giocattoli - Sidermec,Cycling Team Friuli,,,,,,,,,,GC,
M,PT,Team Polti VisitMalta,BELLETTA Dario Igor,Italy,22,27 January 2004,Magenta,1.87,73,0,,Visegrad 4 Kerekparverseny ('25),4th stage Presidential Cycling Tour of Türkiye ('26),7th Giro della Città Metropolitana di Reggio Calabria ('23),Solme - Olmo,Team Visma | Lease a Bike Development,Jumbo-Visma Development Team,Pool Cantù 1999 - GB Junior Team,GB Junior Team,,,,,,,,,,Hills,
M,PT,Team Polti VisitMalta,BENITO Adrián,Spain,21,7 June 2004,La Zubia,1.85,72,0,,2nd stage Tour de Hongrie ('26),2nd KOM Tour de Hongrie ('26),7th Points GC Tour de Hongrie ('26),Extremadura - Pebetero,,,,,,,,,,,,,,Climber,
M,PT,Team Polti VisitMalta,BESSEGA Gabriele,Italy,22,18 February 2004,Milano,1.82,71,0,,2nd stage Région Pays de la Loire Tour ('26),4th Grand Prix Criquielion ('26),4th stage Tour of the Alps ('26),Biesse - Carrera - Premac,Team Polti Kometa U23,EOLO-Kometa U23,Bustese Olonia ASD,,,,,,,,,,,Hills,
M,PT,Team Polti VisitMalta,BESSEGA Tommaso,Italy,22,18 February 2004,Milan,1.83,72,0,,5th Veenendaal-Veenendaal ('26),3rd stage Settimana Internazionale Coppi e Bartali ('26),7th stage Tour de Hongrie ('26),Biesse - Carrera - Premac,Team Polti Kometa U23,EOLO-Kometa U23,Bustese Olonia ASD,,,,,,,,,,,Sprint,
M,PT,Team Polti VisitMalta,BUTTIGIEG Aidan,mt,28,18 July 1997,Mulgrave,1.72,68,2,,National Championships Malta ME - ITT ('25),National Championships Malta ME - Road Race ('25),22nd National Championships Australia ME - Road Race ('21),Team Polti Kometa,St George Continental Cycling Team,Blackshaw Racing,Nero Continental,,,,,,,,,,,TT,
M,PT,Team Polti VisitMalta,CRESCIOLI Ludovico,Italy,22,20 October 2003,Empoli,1.78,63,1,194,Giro dell'Appennino ('26),stage Tour de l'Avenir ('24),4th Tour du Jura Cycliste ('26),Team Technipes #inEmiliaRomagna,Mastromarco Sensi Nibali,U.C. Casano,,,,,,,,,,,,Climber,
M,PT,Team Polti VisitMalta,CROZZOLO Fabrizio,Argentina,21,17 March 2005,Puerto Madryn,1.78,70,0,,8th GC Tour of Hainan ('26),11th GC Tour de Hongrie ('26),8th Clàssica Terres de l'Ebre ('26),Technosylva Maglia Bembibre,Volvo Arregui - CYA - Hegotarrak,,,,,,,,,,,,,GC,
M,PT,Team Polti VisitMalta,GARCÍA Pablo,Spain,25,16 January 2001,Majadahonda,1.83,66,0,,"2x 2nd National Championships Spain MU - ITT ('22, '21)",4th National Championships Spain MU - ITT ('23),"2x 5th National Championships Spain MU - Road Race ('23, '20)",Team Polti Kometa U23,BAI - Sicasal - Petro de Luanda,Caja Rural - Alea,Equipo Amateur Caja Rural - Seguros RGA,Caja Rural - Seguros RGA,,,,,,,,,,TT,
